clave,entidad,abreviacion
1,Aguascalientes,Ags
2,Baja California,BC
3,Baja California Sur,BCS
4,Campeche,Cam
7,Chiapas,Chi
8,Chihuahua,Chih
5,Coahuila,Coah
6,Colima,Col
9,Distrito Federal,DF
10,Durango,Dgo
11,Guanajuato,Gua
12,Guerrero,Gue
13,Hidalgo,Hgo
14,Jalisco,Jal
15,Mexico,Mex
16,Michoacan,Mich
17,Morelos,Mor
18,Nayarit,Nay
19,Nuevo Leon,NL
20,Oaxaca,Oax
21,Puebla,Pue
22,Queretaro,Qro
23,Quintana Roo,Qroo
24,San Luis Potosi,SLP
25,Sinaloa,Sin
26,Sonora,Son
27,Tabasco,Tab
28,Tamaulipas,Tam
29,Tlaxcala,Tla
30,Veracruz,Ver
31,Yucatan,Yuc
32,Zacatecas,Zac
