clave,pib,abreviacion
1, 0.010733334 ,Ags
2, 0.030284833 ,BC
3, 0.005347521 ,BCS
4, 0.048979386 ,Cam
7, 0.032719377 ,Coah
8, 0.005627112 ,Col
5, 0.019797661 ,Chi
6, 0.033211955 ,Chih
9, 0.185005378 ,DF
10, 0.013208680 ,Dgo
11, 0.040493601 ,Gua
12, 0.016251918 ,Gue
13, 0.014218885 ,Hgo
14, 0.067109653 ,Jal
15, 0.090170807 ,Mex
16, 0.024978203 ,Mich
17, 0.012611211 ,Mor
18, 0.005812850 ,Nay
19, 0.072769646 ,NL
20, 0.015878674 ,Oax
21, 0.034196690 ,Pue
22, 0.016495072 ,Qro
23, 0.013749447 ,Qroo
24, 0.017930014 ,SLP
25, 0.020385761 ,Sin
26, 0.023667831 ,Son
27, 0.023787109 ,Tab
28, 0.034113419 ,Tam
29, 0.005854924 ,Tla
30, 0.043754870 ,Ver
31, 0.013396557 ,Yuc
32, 0.007457619 ,Zac
