Q2,Q3,Q4,itaee_log,itaee_c1,itaee_c2,inpc_general_c1,desocup,ied_mxp_log,usindpro_log,pib1mes_e,gtopgj_pc,tclc_log,tflo_log,tfrco_log
1,1,1,1,0,0,1,1,0,1,0,1,1,0,0
1,1,1,1,0,0,1,1,0,1,0,1,0,1,0
1,1,1,1,0,0,1,1,0,1,0,1,0,0,1
1,1,1,1,0,0,1,1,0,1,0,1,1,1,1
1,1,1,1,1,0,1,1,0,1,0,1,1,0,0
1,1,1,1,1,0,1,1,0,1,0,1,0,1,0
1,1,1,1,1,0,1,1,0,1,0,1,0,0,1
1,1,1,1,1,0,1,1,0,1,0,1,1,1,1
1,1,1,1,1,0,1,1,1,1,0,1,1,0,0
1,1,1,1,1,0,1,1,1,1,0,1,0,1,0
1,1,1,1,1,0,1,1,1,1,0,1,0,0,1
1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
1,1,1,1,0,0,1,1,1,1,0,1,1,0,0
1,1,1,1,0,0,1,1,1,1,0,1,0,1,0
1,1,1,1,0,0,1,1,1,1,0,1,0,0,1
1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
1,1,1,1,1,0,1,1,1,1,1,1,0,1,0
1,1,1,1,1,0,1,1,1,1,1,1,0,0,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,1,0,1,0,1,0,0,0
1,1,1,1,1,0,1,1,0,1,0,1,0,0,0
1,1,1,1,1,0,1,1,1,1,0,1,0,0,0
1,1,1,1,0,0,1,1,1,1,0,1,0,0,0
1,1,1,1,1,0,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
