Yearlab,Inflation,Unemplyment,Interest
1953Q1,1.6851416,2.9,1.96
1953Q2,1.4489523,2.7,2.19
1953Q3,1.0120002,2.6,2.04
1953Q4,0.98077029,3.1,1.38
1954Q1,1.332379,4.9,1.18
1954Q2,1.2964184,5.9,0.97
1954Q3,0.90879229,5.8,0.72
1954Q4,0.70933595,5.7,0.98
1955Q1,0.68459658,4.9,1.22
1955Q2,1.0629067,4.7,1.59
1955Q3,1.8391927,4,1.6
1955Q4,2.3893374,4.3,2.23
1956Q1,2.9949814,4,2.41
1956Q2,3.3751878,4,2.6
1956Q3,3.8037398,4.4,2.31
1956Q4,3.7358451,3.9,2.9
1957Q1,3.9086241,4.2,3.11
1957Q2,3.6646769,3.9,3.07
1957Q3,3.2794457,4.2,3.16
1957Q4,3.1932259,4.5,3.58
1958Q1,2.8993546,5.8,2.44
1958Q2,2.633819,7.4,1.13
1958Q3,2.1367521,7.5,0.91
1958Q4,1.769649,6.7,2.63
1959Q1,1.3377763,6,2.82
1959Q2,1.0440552,5.2,2.95
1959Q3,1.0508903,5.1,3.2
1959Q4,1.2871576,5.7,4.05
1960Q1,1.0783366,5.2,4.35
1960Q2,1.371252,5.2,3.23
1960Q3,1.5551276,5.5,2.3
1960Q4,1.5968925,6.1,2.3
1961Q1,1.4686887,6.6,2.24
1961Q2,1.2098119,7,2.29
1961Q3,1.0050728,7,2.24
1961Q4,0.82129708,6.5,2.3
1962Q1,1.282414,5.8,2.72
1962Q2,1.360064,5.6,2.73
1962Q3,1.3658766,5.4,2.92
1962Q4,1.4559925,5.4,2.74
1963Q1,1.163765,5.7,2.91
1963Q2,1.0028786,5.7,2.9
1963Q3,0.91683645,5.6,3.18
1963Q4,1.1628444,5.5,3.45
1964Q1,1.237806,5.6,3.52
1964Q2,1.466397,5.3,3.47
1964Q3,1.7711297,4.9,3.46
1964Q4,1.6375496,5.1,3.57
1965Q1,1.722649,4.9,3.81
1965Q2,1.8393512,4.8,3.93
1965Q3,1.7944094,4.4,3.84
1965Q4,1.9522485,4.2,4.03
1966Q1,2.1313673,4,4.59
1966Q2,2.6335691,3.8,4.62
1966Q3,3.1667995,3.8,4.8
1966Q4,3.437954,3.7,5.35
1967Q1,3.2987706,3.9,4.72
1967Q2,2.9820987,3.8,3.84
1967Q3,2.9365045,3.8,4.21
1967Q4,3.1662269,4,4.56
1968Q1,3.7779001,3.7,5
1968Q2,4.2846921,3.5,5.38
1968Q3,4.3374901,3.7,5.31
1968Q4,4.6407062,3.4,5.35
1969Q1,4.5667877,3.4,6.14
1969Q2,4.7988053,3.4,6.11
1969Q3,5.3083903,3.5,7
1969Q4,5.1681318,3.7,7
1970Q1,5.5772383,3.9,7.87
1970Q2,5.6651005,4.6,6.51
1970Q3,4.9724805,5,6.45
1970Q4,4.9891296,5.5,5.91
1971Q1,5.0940815,5.9,4.44
1971Q2,5.0005467,5.9,3.86
1971Q3,5.214247,6,5.4
1971Q4,4.7127709,5.8,4.46
1972Q1,4.8717859,5.8,3.38
1972Q2,4.0959422,5.7,3.71
1972Q3,4.0107228,5.6,3.98
1972Q4,4.4017866,5.6,4.74
1973Q1,4.0618501,4.9,5.41
1973Q2,5.1785655,5,6.26
1973Q3,6.2219138,4.8,8.01
1973Q4,6.8027433,4.6,7.22
1974Q1,7.5616438,5.1,7.77
1974Q2,8.1415256,5.1,8.33
1974Q3,9.3850126,5.5,7.55
1974Q4,10.815522,6,7.46
1975Q1,11.105451,8.1,6.26
1975Q2,10.296101,8.8,5.61
1975Q3,8.9864634,8.6,6.13
1975Q4,7.6296909,8.4,5.96
1976Q1,6.3813146,7.9,4.87
1976Q2,5.9645952,7.7,4.86
1976Q3,5.4300177,7.8,5.23
1976Q4,5.3608512,7.7,4.92
1977Q1,5.927541,7.5,4.62
1977Q2,6.4867305,7.2,4.54
1977Q3,6.5115704,6.9,5.19
1977Q4,6.4872494,6.8,6.16
1978Q1,6.4909887,6.4,6.44
1978Q2,6.8265335,6.1,6.29
1978Q3,7.1963008,6.2,7.01
1978Q4,7.5682099,5.8,7.99
1979Q1,7.7225631,5.9,9.35
1979Q2,8.2513782,5.8,9.46
1979Q3,8.6033859,5.7,9.24
1979Q4,8.527,6,11.7
1980Q1,8.9298754,6.3,12
1980Q2,8.6979549,6.9,13.2
1980Q3,8.9217995,7.8,8.06
1980Q4,9.8203101,7.5,11.62
1981Q1,10.260683,7.5,15.02
1981Q2,9.782242,7.2,13.69
1981Q3,9.325295,7.2,14.95
1981Q4,8.1971304,7.9,13.54
1982Q1,6.9433346,8.6,12.28
1982Q2,6.3978697,9.3,12.7
1982Q3,5.9201153,9.8,11.35
1982Q4,5.2088824,10.4,7.71
1983Q1,4.629404,10.4,7.86
1983Q2,4.0927322,10.2,8.21
1983Q3,3.7171839,9.4,9.08
1983Q4,3.3726866,8.8,8.64
1984Q1,3.764768,8,8.9
1984Q2,3.9426026,7.7,9.69
1984Q3,3.7334839,7.5,10.12
1984Q4,3.5928507,7.4,9.74
1985Q1,3.5039947,7.3,7.76
1985Q2,3.1183736,7.3,7.95
1985Q3,2.775449,7.4,7.08
1985Q4,2.7883378,7.1,7.16
1986Q1,2.1393466,6.7,7.07
1986Q2,2.0980127,7.1,6.06
1986Q3,2.2597172,7,5.83
1986Q4,2.3627648,7,5.18
1987Q1,2.6238324,6.6,5.43
1987Q2,2.6802439,6.3,5.64
1987Q3,2.791967,6.1,5.69
1987Q4,2.7626459,6,6.13
1988Q1,2.8270403,5.7,5.81
1988Q2,3.2810271,5.4,5.91
1988Q3,3.7140912,5.4,6.73
1988Q4,3.837832,5.4,7.35
1989Q1,4.0555764,5.4,8.27
1989Q2,4.0453676,5.2,8.65
1989Q3,3.5902754,5.2,7.88
1989Q4,3.447243,5.3,7.64
1990Q1,3.6100943,5.4,7.64
1990Q2,3.8089403,5.4,7.77
1990Q3,3.9790656,5.5,7.62
1990Q4,4.099052,5.9,7.17
1991Q1,4.0714526,6.4,6.22
1991Q2,3.5265475,6.7,5.65
1991Q3,3.3137119,6.8,5.58
1991Q4,3.0366796,7,4.99
1992Q1,2.5148813,7.3,3.8
1992Q2,2.3968454,7.4,3.75
1992Q3,2.1410371,7.7,3.21
1992Q4,2.1619718,7.3,2.86
1993Q1,2.2887858,7.3,3
1993Q2,2.3105832,7.1,2.87
1993Q3,2.3236745,6.9,3.04
1993Q4,2.2839549,6.8,3.02
1994Q1,2.1304244,6.6,2.98
1994Q2,2.0135141,6.4,3.68
1994Q3,2.1738394,6.1,4.33
1994Q4,2.1655622,5.8,4.95
1995Q1,2.1830844,5.6,5.71
1995Q2,2.1238053,5.8,5.65
1995Q3,1.9397956,5.7,5.42
1995Q4,1.9525495,5.5,5.28
1996Q1,1.9092557,5.6,5
1996Q2,1.8761359,5.6,4.95
1996Q3,1.932142,5.5,5.15
1996Q4,1.8558458,5.2,4.99
1997Q1,1.7802405,5.3,5.03
1997Q2,1.7903114,5.1,5.16
1997Q3,1.5702075,4.9,5.05
1997Q4,1.4917156,4.7,4.97
1998Q1,1.1930963,4.6,5.04
1998Q2,1.0420711,4.3,4.95
1998Q3,1.1293581,4.5,4.96
1998Q4,1.0817408,4.5,3.96
1999Q1,1.2258575,4.3,4.34
1999Q2,1.4716879,4.3,4.29
1999Q3,1.4510453,4.3,4.55
1999Q4,1.6243382,4.1,4.86
2000Q1,2.0745523,4,5.32
2000Q2,2.1279209,3.8,5.66
2000Q3,2.2637775,4,5.96
2000Q4,2.2462554,3.9,6.11
2001Q1,2.230794,4.2,5.15
2001Q2,2.5155342,4.4,3.87
2001Q3,2.4431121,4.6,3.51
2001Q4,2.4183857,5.3,2.16
2002Q1,2.0156245,5.7,1.65
2002Q2,1.6169714,5.9,1.72
2002Q3,1.6135943,5.8,1.68
2002Q4,1.7493842,5.7,1.58
2003Q1,2.1138934,5.8,1.17
2003Q2,2.0511044,6,1.13
2003Q3,2.1744755,6.2,0.9
2003Q4,2.1710539,6,0.92
2004Q1,2.3150688,5.7,0.88
2004Q2,2.9186621,5.5,0.94
2004Q3,2.9338936,5.5,1.33
2004Q4,3.1771203,5.4,1.76
2005Q1,3.1130419,5.2,2.33
2005Q2,2.8001685,5.1,2.78
2005Q3,3.0935632,5,3.22
2005Q4,3.1082181,4.9,3.71
2006Q1,3.0558095,4.7,4.24
2006Q2,3.2754457,4.7,4.6
2006Q3,2.9096952,4.8,4.95
