"","V1"
"1",0.022185241283871
"2",0.019628233283871
"3",-0.019347972716129
"4",0.021255510283871
"5",0.012716275283871
"6",0.00369639128387097
"7",0.00554503428387097
"8",0.00993568928387097
"9",0.031047025283871
"10",0.053574442283871
"11",0.018936064283871
"12",-0.00354108271612903
"13",-0.014393596716129
"14",0.018381739283871
"15",0.054930972283871
"16",0.00759708228387097
"17",0.046698043283871
"18",0.069094058283871
"19",0.039461846283871
"20",0.026149881283871
"21",0.00193550128387097
"22",-0.00828301171612903
"23",-0.015681174716129
"24",0.00284902428387097
"25",0.00836177528387097
"26",-0.015574191716129
"27",-0.034325169716129
"28",-0.015373995716129
"29",0.010858893283871
"30",-0.033380277716129
"31",-0.035601567716129
"32",-0.037905334716129
"33",-0.058277794716129
"34",-0.063819528716129
"35",-0.030409240716129
"36",-0.00672792071612903
"37",0.025883810283871
"38",0.035872922283871
"39",0.00313243428387097
"40",-0.049629588716129
"41",-0.044331090716129
"42",-0.00418401271612903
"43",0.053347712283871
"44",0.078044064283871
"45",0.056940738283871
"46",0.071346273283871
"47",0.035054474283871
"48",-0.00544423171612903
"49",-0.058969409716129
"50",-0.085658881716129
"51",-0.032086861716129
"52",0.053517021283871
"53",0.046545533283871
"54",-0.00153030771612903
"55",-0.047297046716129
"56",-0.062897378716129
"57",-0.041453434716129
"58",-0.056789717716129
"59",-0.014713993716129
"60",0.047354956283871
"61",0.075581304283871
"62",0.054966558283871
"63",0.038480150283871
"64",0.00559965328387097
"65",0.00451984428387097
"66",0.031413771283871
"67",0.036596748283871
"68",-0.00845249771612903
"69",-0.00702489371612903
"70",0.010590436283871
"71",-0.00700783771612903
"72",-0.026530453716129
"73",-0.054694699716129
"74",-0.00968668471612903
"75",-0.023279862716129
"76",-0.022254983716129
"77",-0.036257051716129
"78",-0.019319094716129
"79",-0.00809529671612903
"80",0.013055831283871
"81",0.028315230283871
"82",0.017935139283871
"83",0.00265820628387097
"84",-0.028098966716129
"85",-0.00440231171612903
"86",0.00587749828387097
"87",0.019753456283871
"88",0.00509559628387097
"89",0.00066925328387097
"90",-0.00544877471612903
"91",0.011067984283871
"92",0.029248302283871
"93",0.033261921283871
"94",0.032356745283871
"95",0.040073789283871
"96",0.056243758283871
"97",0.024754516283871
"98",-0.00826573971612903
"99",-0.028824676716129
"100",0.011064477283871
"101",0.043772275283871
"102",0.069343542283871
"103",0.019018011283871
"104",-0.018255146716129
"105",-0.036012084716129
"106",-0.038249985716129
"107",-0.038538902716129
"108",-0.045329239716129
"109",-0.00634487271612903
"110",0.018033881283871
"111",0.032958700283871
"112",0.00747707128387097
"113",-0.00375786871612903
"114",-0.052449749716129
"115",0.000167464283870968
"116",-0.00631233471612903
"117",-0.016954857716129
"118",0.00166754028387097
"119",-0.010051480716129
"120",-0.033481361716129
"121",-0.054604515716129
"122",-0.060831683716129
"123",-0.043341297716129
"124",-0.023611158716129
"125",-0.043497503716129
"126",-0.046435286716129
"127",-0.086922618716129
"128",-0.033317440716129
"129",0.028189676283871
"130",0.013279829283871
"131",0.012579595283871
"132",0.030538573283871
"133",0.030729533283871
"134",0.014841527283871
"135",-0.011524352716129
"136",-0.033653481716129
"137",-0.00414596371612903
"138",0.054721538283871
"139",0.073423953283871
"140",0.038690426283871
"141",-0.029268989716129
"142",-0.050869387716129
"143",-0.022980080716129
"144",-0.026661732716129
"145",-0.019185242716129
"146",0.023187585283871
"147",0.032552162283871
